follower_id,following_id,followed_at
USR03477,USR05492,2023-04-27 18:25:58
USR05951,USR05000,2020-12-27 15:56:13
USR04589,USR04284,2024-01-14 09:43:38
USR02349,USR06995,2023-05-04 20:37:46
USR05469,USR05977,2025-02-08 03:50:15
USR01553,USR05318,2025-07-12 14:44:27
USR04994,USR04145,2023-07-31 13:58:46
USR04142,USR05506,2026-01-13 16:30:19
USR00881,USR02957,2025-07-20 00:56:19
USR05632,USR01141,2023-04-26 04:24:23
USR04490,USR02027,2025-01-05 20:07:01
USR04056,USR00676,2021-07-03 14:55:34
USR01526,USR03600,2025-06-02 05:03:11
USR02674,USR02338,2025-12-31 03:38:03
USR00626,USR01762,2021-06-27 20:06:29
USR03655,USR02194,2026-01-19 03:37:46
USR06518,USR06802,2025-10-27 23:09:40
USR02788,USR04158,2023-12-22 15:44:59
USR00910,USR06706,2023-05-25 16:38:47
USR03176,USR03384,2025-05-04 09:48:41
USR02636,USR04687,2024-12-22 16:27:14
USR02285,USR03830,2025-08-18 20:00:24
USR05295,USR04813,2023-01-20 01:46:50
USR00854,USR06653,2025-03-16 03:46:52
USR01569,USR00909,2025-07-01 07:01:28
USR00877,USR04682,2023-09-29 06:08:46
USR04790,USR01800,2023-08-14 09:27:20
USR05081,USR04076,2024-02-20 23:07:57
USR06423,USR04870,2025-09-28 03:26:20
USR00947,USR03949,2023-12-12 11:26:02
USR06051,USR05511,2023-07-25 23:22:21
USR06750,USR02332,2025-09-10 13:44:53
USR04040,USR01219,2025-06-16 09:36:13
USR00529,USR06145,2025-05-01 03:54:23
USR05525,USR05347,2024-04-11 15:03:24
USR02295,USR06281,2025-12-28 19:23:53
USR06258,USR01113,2023-04-09 15:19:22
USR06976,USR01858,2025-09-14 23:04:52
USR01309,USR01529,2025-10-31 14:20:12
USR02798,USR01930,2024-04-27 13:30:23
USR01293,USR00779,2025-04-24 12:41:25
USR00716,USR04965,2024-02-29 03:32:06
USR00560,USR06493,2026-01-28 16:00:04
USR02719,USR06989,2025-05-29 06:04:29
USR00043,USR03778,2026-01-09 07:06:25
USR06931,USR05851,2025-12-15 00:09:20
USR06202,USR00248,2025-10-06 17:54:03
USR02683,USR01763,2023-10-11 02:12:21
USR02934,USR03764,2024-01-26 11:32:28
USR04258,USR05340,2025-09-29 22:59:14
USR00861,USR05475,2025-08-05 22:43:18
USR02997,USR01715,2026-01-13 09:28:24
USR02228,USR01709,2022-04-19 06:55:12
USR05957,USR05898,2026-01-24 16:24:08
USR01885,USR05487,2025-01-19 07:06:39
USR00039,USR03244,2023-05-23 12:22:22
USR05076,USR01351,2025-04-24 06:19:13
USR00780,USR01909,2025-08-07 19:30:33
USR01352,USR03880,2025-08-23 22:48:32
USR02087,USR04960,2025-03-22 07:08:16
USR01335,USR06726,2024-09-04 07:08:02
USR02057,USR00534,2025-05-11 01:17:43
USR06193,USR03440,2025-12-04 04:00:58
USR05223,USR04603,2024-03-28 17:44:53
USR01290,USR04783,2026-01-30 15:28:15
USR03103,USR00720,2025-11-09 15:16:47
USR05622,USR00754,2024-12-28 10:17:49
USR03482,USR00390,2025-07-23 06:53:29
USR05991,USR00111,2025-10-31 21:56:09
USR02706,USR04117,2025-07-02 04:51:59
USR00202,USR05040,2023-10-04 19:01:54
USR05137,USR06276,2023-03-03 07:52:21
USR05830,USR01028,2022-06-29 22:11:33
USR03215,USR00235,2021-08-09 22:25:44
USR06414,USR02835,2024-11-19 14:54:41
USR05831,USR04733,2025-03-04 10:09:58
USR01454,USR06674,2022-05-19 09:11:08
USR05689,USR00967,2025-09-08 16:46:02
USR05083,USR01946,2025-03-15 19:54:43
USR06112,USR02088,2023-11-12 14:51:59
USR06657,USR04221,2024-11-15 11:17:18
USR03550,USR05776,2025-12-07 07:59:47
USR03078,USR01423,2023-12-05 05:30:13
USR00098,USR02176,2026-01-25 05:29:53
USR05756,USR06321,2022-10-13 11:40:28
USR05139,USR05141,2023-08-05 18:09:19
USR01151,USR00966,2023-12-11 20:54:24
USR00176,USR04476,2021-12-07 21:40:13
USR06140,USR04190,2025-10-25 07:56:44
USR06994,USR03208,2024-01-02 19:16:17
USR06829,USR06904,2026-01-22 16:34:12
USR01599,USR03176,2024-11-23 17:00:56
USR02808,USR00599,2023-02-06 18:14:05
USR06469,USR00841,2025-11-18 10:06:49
USR06439,USR04414,2025-09-02 04:11:06
USR01864,USR03052,2025-10-14 15:24:48
USR06612,USR01262,2022-11-07 09:20:33
USR05286,USR06169,2023-12-09 07:42:29
USR00727,USR03379,2021-02-20 19:27:56
USR01312,USR01210,2026-01-03 07:42:20
USR05618,USR05461,2025-12-28 22:27:53
USR01981,USR00544,2023-11-27 02:00:25
USR02489,USR03550,2024-07-29 08:52:09
USR03285,USR06411,2024-04-20 07:14:19
USR03478,USR06399,2024-09-10 11:59:49
USR04870,USR03588,2025-11-06 20:35:19
USR03838,USR01400,2025-05-01 16:31:38
USR05024,USR01855,2025-07-11 00:06:37
USR05771,USR05740,2025-12-16 14:44:16
USR04920,USR05428,2022-09-03 09:46:00
USR04760,USR03552,2021-04-09 06:23:45
USR01799,USR05979,2021-03-25 09:15:13
USR02896,USR04466,2024-11-13 05:55:12
USR01488,USR03603,2025-04-20 02:45:39
USR02101,USR00004,2024-12-12 04:28:51
USR05517,USR02958,2022-06-08 15:09:33
USR03182,USR03074,2023-05-19 07:15:02
USR04488,USR01763,2025-02-24 20:39:47
USR02322,USR03850,2023-03-20 11:25:07
USR01066,USR06957,2022-09-28 03:59:02
USR06838,USR03304,2021-09-02 01:42:32
USR06267,USR05462,2025-05-15 22:43:39
USR05489,USR04266,2025-07-05 16:34:01
USR01802,USR03025,2024-02-12 07:29:00
USR03795,USR06184,2025-10-23 18:00:34
USR05134,USR03237,2026-01-14 00:51:48
USR05249,USR06649,2025-10-01 01:58:10
USR02816,USR03763,2024-12-22 21:19:20
USR04376,USR04139,2024-12-27 18:19:54
USR06845,USR02381,2024-10-27 22:13:12
USR06711,USR01449,2025-10-23 22:15:11
USR00843,USR01019,2025-09-18 15:55:10
USR03379,USR01782,2023-02-15 23:00:21
USR02681,USR05121,2025-01-01 06:21:02
USR00801,USR04282,2024-06-14 22:37:29
USR06835,USR02262,2025-05-22 07:08:06
USR02410,USR06984,2023-06-19 13:13:45
USR03342,USR00207,2021-07-25 15:31:36
USR04587,USR04594,2026-01-23 02:50:29
USR00249,USR00480,2026-01-02 12:13:53
USR06666,USR03392,2025-05-27 06:02:49
USR00620,USR01453,2023-12-31 17:14:34
USR06464,USR03840,2024-01-28 02:18:59
USR02171,USR03162,2025-03-21 22:52:41
USR04806,USR05767,2025-06-06 17:20:47
USR05915,USR00073,2025-09-13 01:29:27
USR02103,USR00301,2025-12-02 13:38:55
USR01160,USR06110,2026-01-26 16:21:20
USR05109,USR01620,2025-02-22 04:49:37
USR01022,USR02903,2025-11-11 17:56:47
USR05395,USR00207,2025-05-16 19:19:08
USR02092,USR03948,2024-05-28 14:49:40
USR02637,USR06615,2021-07-18 12:13:49
USR06650,USR03258,2024-02-06 09:06:43
USR06375,USR05317,2022-04-05 07:04:00
USR03824,USR02987,2024-04-28 04:14:04
USR02575,USR02813,2024-01-09 18:56:07
USR02960,USR00030,2024-03-17 03:21:35
USR01002,USR04191,2022-11-28 09:49:19
USR02215,USR03765,2022-11-14 08:58:31
USR02664,USR05359,2025-11-06 13:21:58
USR01362,USR00095,2024-06-04 21:33:32
USR00830,USR04964,2020-06-13 07:07:49
USR02938,USR01366,2023-06-08 06:00:00
USR04116,USR06085,2025-05-02 19:21:31
USR05936,USR03867,2025-11-30 21:19:05
USR01515,USR01633,2025-08-14 13:35:10
USR05991,USR04268,2025-10-11 12:12:42
USR06589,USR01337,2021-08-22 16:52:17
USR05356,USR01411,2024-01-25 10:18:58
USR05647,USR02276,2023-04-04 05:37:48
USR00694,USR06324,2025-12-27 18:35:20
USR05136,USR05134,2025-08-10 12:57:50
USR06744,USR03247,2024-02-16 08:39:25
USR01112,USR01401,2025-11-06 07:21:07
USR02031,USR01730,2024-09-05 06:24:17
USR05892,USR06303,2025-10-27 08:36:15
USR01696,USR06857,2024-01-13 16:02:42
USR00367,USR01657,2022-05-14 22:44:28
USR02567,USR04336,2024-12-04 00:42:40
USR03066,USR05062,2025-04-01 17:35:14
USR06908,USR05892,2025-07-03 05:38:24
USR01162,USR00353,2024-08-29 16:03:59
USR00913,USR05588,2025-10-30 15:42:52
USR02165,USR06598,2025-02-11 04:56:35
USR03278,USR01542,2022-01-15 04:25:13
USR05914,USR00865,2025-08-23 02:33:03
USR06746,USR04163,2021-12-20 06:04:09
USR00204,USR02028,2023-05-26 16:34:21
USR01057,USR01797,2025-05-09 03:00:15
USR03613,USR01897,2025-09-01 07:06:29
USR05533,USR02239,2026-01-29 01:50:25
USR03495,USR01784,2024-11-05 16:29:39
USR05380,USR00301,2023-05-12 13:27:07
USR03048,USR06023,2025-10-18 13:03:08
USR01819,USR02998,2024-10-02 11:55:27
USR00289,USR05805,2025-10-14 19:38:19
USR06183,USR04126,2024-06-03 02:40:25
USR02293,USR02045,2022-11-09 08:06:06
USR06794,USR06833,2025-11-19 04:23:08
USR04087,USR06780,2023-08-25 09:39:23
USR03377,USR04615,2025-07-31 19:04:33
USR05403,USR02974,2025-06-23 14:50:44
USR01856,USR03387,2024-05-03 18:15:45
USR04156,USR00914,2024-11-03 10:03:04
USR02007,USR00994,2025-08-06 22:07:27
USR04055,USR03443,2026-01-22 22:54:23
USR06011,USR01992,2025-11-07 13:07:30
USR02787,USR06101,2024-05-21 21:20:52
USR02906,USR01387,2025-04-16 20:27:03
USR03883,USR06103,2024-06-12 10:30:27
USR01177,USR02993,2025-08-13 08:35:49
USR04400,USR01071,2024-08-03 12:00:52
USR06753,USR00010,2025-05-06 13:00:12
USR00595,USR00734,2026-01-10 07:18:46
USR02827,USR06994,2023-12-07 01:30:09
USR00565,USR02037,2025-05-14 18:00:55
USR04563,USR02856,2025-05-18 00:40:01
USR03317,USR00342,2025-12-11 11:42:30
USR06888,USR04688,2021-01-19 11:15:39
USR06944,USR06712,2025-11-18 09:49:52
USR00511,USR03250,2024-12-28 21:29:34
USR02804,USR00331,2025-01-12 16:41:50
USR00349,USR06817,2023-11-25 23:43:18
USR06666,USR03273,2025-12-18 14:00:50
USR00661,USR06774,2022-01-06 11:29:24
USR02331,USR05261,2025-01-27 18:36:23
USR03620,USR04930,2022-04-07 00:32:57
USR04974,USR03417,2025-04-11 06:42:04
USR03527,USR00408,2023-03-04 17:55:10
USR04958,USR02399,2024-05-08 05:34:01
USR05709,USR06132,2024-12-01 15:52:32
USR04452,USR01741,2025-04-01 01:54:08
USR00958,USR05068,2024-09-04 11:17:28
USR00155,USR02371,2022-10-08 08:22:23
USR01648,USR03031,2021-11-25 20:06:55
USR00735,USR02665,2025-08-20 09:21:13
USR03793,USR01183,2024-09-04 08:49:47
USR02109,USR00993,2024-04-22 23:32:10
USR01406,USR00232,2024-10-23 09:26:49
USR01009,USR00345,2024-05-21 06:00:19
USR01807,USR02742,2025-09-08 05:11:43
USR04281,USR03362,2022-10-20 20:05:43
USR05807,USR02865,2026-02-02 03:30:11
USR01125,USR03619,2021-12-28 05:52:24
USR03705,USR01491,2025-12-21 05:01:23
USR03678,USR02057,2023-11-06 04:06:15
USR03314,USR05643,2020-06-26 09:29:59
USR04762,USR03151,2025-06-20 23:44:58
USR01970,USR05265,2026-01-22 15:42:16
USR04704,USR04936,2025-06-20 07:50:59
USR00246,USR06066,2023-09-12 02:11:22
USR02637,USR03622,2025-01-03 12:56:06
USR05115,USR02767,2022-03-23 15:27:39
USR01087,USR03757,2023-11-29 08:09:37
USR03733,USR05418,2023-11-12 17:23:17
USR06294,USR04770,2024-04-17 16:53:53
USR05915,USR05164,2025-08-23 08:12:21
USR00915,USR04800,2025-08-14 20:53:06
USR03825,USR05429,2025-07-16 09:31:30
USR05998,USR02185,2024-04-16 23:21:00
USR05474,USR01819,2024-10-14 09:05:55
USR04789,USR00023,2025-03-03 14:04:37
USR06986,USR05454,2023-07-26 02:12:29
USR06389,USR06572,2025-05-26 01:17:53
USR05029,USR01941,2024-02-10 18:33:48
USR00398,USR03918,2023-08-12 06:20:37
USR02888,USR02093,2023-09-28 06:27:33
USR04347,USR01947,2022-06-27 16:53:37
USR04124,USR00673,2025-11-18 10:00:06
USR06062,USR03863,2026-01-29 18:08:19
USR00917,USR00660,2025-10-09 11:48:45
USR06152,USR00277,2025-12-27 11:54:07
USR05434,USR02889,2024-11-04 11:24:34
USR06372,USR03954,2022-06-28 03:58:28
USR05256,USR00654,2025-11-17 07:14:58
USR03937,USR00330,2024-05-28 03:14:39
USR06254,USR03999,2021-03-15 19:19:18
USR00736,USR00612,2026-01-30 09:30:35
USR00025,USR02312,2022-11-30 15:25:48
USR02926,USR02252,2020-11-27 01:46:38
USR00330,USR02353,2021-04-20 21:41:00
USR02385,USR02440,2025-03-12 06:28:30
USR05132,USR02316,2022-05-24 14:27:02
USR05661,USR04580,2025-01-10 19:00:33
USR00671,USR01651,2024-12-13 07:50:15
USR03783,USR03290,2022-12-24 16:34:41
USR04823,USR04360,2024-01-18 01:01:31
USR03288,USR00839,2020-12-12 17:47:44
USR02690,USR02073,2024-11-22 10:35:09
USR04955,USR06876,2025-03-08 00:18:39
USR00757,USR03863,2022-08-23 04:22:35
USR06931,USR01195,2025-12-21 03:14:31
USR00376,USR05655,2025-03-01 14:42:04
USR01792,USR04511,2025-03-05 17:11:48
USR02869,USR01638,2025-01-18 04:28:01
USR04900,USR01465,2024-05-11 17:17:27
USR01466,USR01814,2023-08-24 17:30:24
USR04812,USR06640,2024-11-25 08:47:04
USR06746,USR06966,2025-01-01 08:16:20
USR01591,USR06536,2022-08-09 11:38:16
USR03396,USR05282,2025-05-08 22:18:52
USR06084,USR04973,2022-04-09 03:25:50
USR00350,USR03324,2024-08-22 14:38:58
USR01814,USR00500,2025-09-10 09:35:33
USR06793,USR01494,2024-09-03 17:28:53
USR06257,USR01311,2020-08-28 11:43:22
USR00796,USR00793,2022-04-14 21:47:52
USR03791,USR05672,2025-11-05 22:56:07
USR02956,USR01735,2022-06-25 23:26:43
USR04948,USR04606,2025-03-22 17:51:38
USR05225,USR01441,2025-04-18 22:37:00
USR03279,USR01109,2026-01-09 10:34:13
USR04342,USR00545,2025-03-12 20:50:45
USR01466,USR03560,2021-08-26 15:42:03
USR01606,USR06657,2025-01-20 02:22:57
USR06832,USR05594,2026-01-17 20:14:12
USR05847,USR06549,2025-09-16 19:32:46
USR01948,USR06360,2025-08-24 07:38:01
USR03619,USR00219,2024-03-10 02:38:30
USR00093,USR05677,2025-10-24 22:14:16
USR03028,USR02275,2024-05-23 18:12:22
USR04908,USR06755,2023-10-11 04:18:31
USR02026,USR02335,2021-12-26 06:19:52
USR03281,USR01680,2024-04-14 03:46:09
USR06705,USR06153,2024-07-18 12:42:20
USR06784,USR06044,2024-05-27 23:16:51
USR05941,USR02014,2026-02-03 18:51:59
USR05528,USR04268,2023-10-09 11:26:36
USR00380,USR05883,2023-01-19 23:42:55
USR02351,USR02470,2025-04-24 03:50:07
USR06790,USR01796,2021-05-01 18:35:28
USR00164,USR05834,2025-02-12 06:05:39
USR04990,USR03213,2025-01-30 18:51:15
USR04354,USR06037,2025-05-27 12:00:21
USR03093,USR04931,2025-06-21 10:05:55
USR05779,USR02400,2024-11-05 23:05:06
USR03612,USR04658,2024-04-30 15:38:46
USR05130,USR02608,2023-06-22 20:53:42
USR05481,USR01626,2023-11-09 12:20:29
USR02800,USR03680,2025-05-05 18:22:31
USR01369,USR03597,2024-11-17 21:15:41
USR06115,USR03491,2024-10-03 17:12:29
USR00760,USR01852,2022-11-09 19:55:13
USR02373,USR02446,2025-09-15 00:15:13
USR02128,USR05976,2023-03-07 23:56:54
USR01354,USR00032,2022-12-19 19:07:56
USR02679,USR05396,2022-06-25 09:28:48
USR00293,USR01367,2021-10-27 18:16:05
USR02612,USR05371,2025-05-30 13:46:43
USR05194,USR02744,2026-01-14 17:22:27
USR00804,USR04950,2025-10-23 09:20:24
USR05918,USR04905,2024-07-07 04:38:36
USR05313,USR04985,2023-01-25 06:17:38
USR00220,USR05555,2025-11-27 05:14:07
USR05202,USR00327,2024-11-13 01:48:13
USR05031,USR06868,2026-01-26 23:04:10
USR01802,USR05292,2025-07-01 20:04:49
USR05924,USR02956,2025-08-07 09:54:42
USR02591,USR06935,2024-12-06 07:15:58
USR05844,USR03028,2024-05-02 03:48:27
USR05155,USR03655,2024-05-13 10:26:58
USR04901,USR03199,2023-11-16 16:28:39
USR01243,USR06087,2023-03-31 15:20:32
USR04078,USR03817,2024-05-09 16:08:05
USR03957,USR03875,2021-02-10 21:04:36
USR02819,USR01294,2024-09-30 18:34:57
USR01911,USR00807,2025-11-22 15:46:11
USR05056,USR06324,2025-08-09 16:13:08
USR01405,USR05430,2023-04-15 19:41:54
USR02456,USR04552,2025-12-17 09:05:25
USR04787,USR03211,2024-02-05 20:34:02
USR06162,USR00155,2025-10-28 13:43:30
USR00696,USR04909,2024-03-03 22:55:38
USR04474,USR03384,2024-07-22 00:37:43
USR01394,USR06815,2025-11-06 02:41:45
USR03316,USR03439,2025-06-19 09:17:32
USR03140,USR03407,2026-01-19 22:21:42
USR02544,USR03101,2025-07-16 20:43:48
USR05216,USR05170,2024-09-21 12:25:17
USR03845,USR04130,2024-09-26 00:07:45
USR03096,USR03522,2023-09-09 20:32:58
USR01844,USR06366,2025-08-19 10:10:12
USR05511,USR00235,2026-01-14 15:46:52
USR02674,USR05870,2025-05-18 23:01:20
USR03410,USR01365,2023-01-28 02:19:45
USR02031,USR00459,2025-06-09 22:14:02
USR01031,USR03894,2025-02-28 01:24:15
USR04907,USR00615,2023-03-14 08:40:56
USR02329,USR00987,2025-07-30 22:12:36
USR03425,USR01979,2022-08-18 11:48:26
USR04352,USR00882,2025-12-07 01:40:44
USR05043,USR00945,2025-12-13 13:44:28
USR01127,USR00473,2025-10-15 18:36:12
USR05691,USR04598,2025-04-05 05:23:44
USR00454,USR02427,2025-09-07 02:11:44
USR03711,USR06180,2023-02-26 15:43:16
USR04738,USR00151,2022-02-19 20:07:34
USR02025,USR05476,2024-12-28 10:11:00
USR01539,USR03595,2025-10-11 06:45:27
USR03042,USR01666,2023-03-05 18:26:00
USR02350,USR06891,2023-11-28 23:51:23
USR05463,USR03440,2025-03-31 14:20:03
USR00465,USR04636,2024-08-27 16:56:32
USR06912,USR03585,2025-07-29 06:10:51
USR06174,USR05123,2025-02-10 22:47:22
USR03819,USR02930,2024-07-31 14:07:40
USR04002,USR05462,2024-09-23 02:52:07
USR04767,USR00428,2022-07-20 05:54:14
USR04304,USR03732,2023-06-18 02:11:52
USR05885,USR03733,2025-04-15 13:51:58
USR05469,USR04764,2025-09-28 17:41:31
USR04658,USR06174,2025-12-05 18:47:32
USR03673,USR03690,2023-10-30 13:25:29
USR04308,USR06098,2024-10-28 07:53:42
USR01797,USR06839,2025-03-03 08:37:06
USR03848,USR04124,2024-12-04 23:41:24
USR06073,USR02123,2023-04-17 17:59:18
USR05103,USR04554,2024-12-19 00:40:22
USR03594,USR05450,2025-05-26 11:01:23
USR05404,USR05175,2025-10-16 03:05:47
USR06596,USR00537,2025-07-06 19:14:37
USR03146,USR02204,2025-12-25 14:36:10
USR04324,USR05480,2026-01-21 06:42:15
USR05283,USR00054,2026-01-02 13:26:40
USR02331,USR01125,2025-12-12 15:36:22
USR04928,USR01462,2024-01-28 11:19:04
USR00942,USR02327,2025-12-16 07:33:34
USR05535,USR01359,2021-06-14 15:41:20
USR05706,USR06171,2022-07-28 10:02:36
USR04069,USR00046,2024-06-11 12:32:37
USR03368,USR05484,2025-11-07 18:39:50
USR01213,USR03947,2025-03-23 06:46:33
USR01290,USR06012,2026-01-28 03:57:46
USR00044,USR03158,2025-12-21 21:25:30
USR01027,USR06732,2025-02-19 13:57:04
USR02612,USR04818,2025-08-06 10:38:31
USR04979,USR06589,2025-08-21 22:21:57
USR03714,USR03019,2024-07-24 21:47:01
USR05812,USR06302,2022-08-03 14:23:42
USR01269,USR00337,2025-07-17 00:43:49
USR03235,USR01388,2025-06-18 21:20:30
USR01708,USR03975,2025-05-10 16:13:04
USR03382,USR01887,2023-10-08 23:36:28
USR05567,USR03098,2024-03-18 07:46:56
USR03801,USR00195,2024-05-22 10:45:55
USR04576,USR06003,2025-10-24 11:03:14
USR00329,USR05034,2020-05-06 05:40:18
USR03821,USR00401,2025-04-09 17:51:31
USR06339,USR01353,2023-09-08 02:40:34
USR04610,USR02925,2025-06-19 07:41:45
USR01163,USR02016,2023-07-05 10:32:03
USR03222,USR03003,2024-03-21 00:28:15
USR05894,USR00060,2022-06-16 10:18:05
USR01171,USR04611,2025-12-28 22:38:16
USR03517,USR02386,2025-04-09 06:59:31
USR06080,USR02223,2023-12-05 23:17:57
USR05576,USR01769,2025-09-03 05:58:13
USR01635,USR02031,2025-11-07 19:17:23
USR06803,USR05211,2025-09-17 06:00:39
USR00296,USR02612,2025-01-26 14:39:51
USR02335,USR05630,2023-11-21 04:09:44
USR05252,USR06431,2025-07-29 02:14:40
USR01251,USR06015,2025-11-27 11:34:40
USR06584,USR06896,2024-10-09 16:33:28
USR00424,USR02916,2025-12-21 21:58:53
USR04784,USR03510,2023-06-05 15:28:19
USR03755,USR03066,2025-05-08 09:27:32
USR02755,USR03544,2025-11-07 04:59:17
USR00454,USR01377,2024-10-27 18:57:32
USR03759,USR00761,2024-08-09 16:04:46
USR01904,USR02744,2024-04-15 11:41:33
USR04876,USR01577,2022-09-20 09:56:34
USR06085,USR06946,2025-01-09 01:15:25
USR00778,USR02527,2025-10-29 20:53:50
USR05883,USR01690,2023-05-27 19:15:32
USR01732,USR03691,2025-08-01 22:57:53
USR05920,USR02062,2022-08-03 12:19:43
USR01826,USR02574,2023-01-22 19:59:00
